"man_unit","count","p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p88","p89","p90","p91","p92","p93","p94","p95","p96","p97","p98","p99","p100"
"1 - Arrow TSA",1978,0.00568181818181818,0.032161580263628,0.0352560066280033,0.0375,0.0390255621475134,0.0410221365574441,0.0429114811568799,0.0454545454545455,0.0476190476190476,0.0497182712276165,0.0510204081632653,0.142857142857143,0.15,0.155683084684121,0.16305900621118,0.168100251921711,0.181561264822134,0.191780821917808,0.202833716915995,0.215672751859364,0.241325593484665,0.262885972461274,0.308052706552707,0.95
"10 - Kalum TSA",520,0.0045766590389016,0.0209232531500573,0.0328292682926829,0.0511865546218487,0.0581298701298701,0.0612200338650744,0.0622523041474654,0.0641025641025641,0.0673076923076923,0.0685545500251383,0.0695531400966184,0.238522841895632,0.247505589268604,0.25809705561614,0.2625378726107,0.27479971216119,0.28729028782515,0.295414064307194,0.300263157894737,0.309463414634146,0.350388175888913,0.447847985347985,0.492903456410622,0.813008130081301
"11 - Kamloops TSA",4710,0.000829875518672199,0.00730410047230571,0.0105329873980726,0.0135135135135135,0.0158730158730159,0.0182116788321168,0.0208333333333333,0.0224056244307727,0.0240963855421687,0.025998894722299,0.0279989821882952,0.20604815702385,0.217744248442608,0.228611481975968,0.240073076923077,0.25,0.257949265871648,0.274257800959648,0.296120332519411,0.3164329004329,0.341957219251336,0.388888314597061,0.477301707301707,1
"12 - Kispiox TSA",232,0.0159680638722555,0.0289569240475273,0.0308496110630942,0.0325563053408938,0.0382469219473625,0.0398571428571429,0.0433487511563367,0.0484952301579034,0.0499374036106323,0.0524418845994188,0.0538536953242836,0.229581352673487,0.242352857063714,0.254885057471264,0.258964320884781,0.272897332846182,0.289178170144462,0.300084761796647,0.317060713332127,0.346170246845468,0.385102251407129,0.447357639137597,0.543848405033655,0.673178061607814
"13 - Kootenay Lake TSA",993,0.00833333333333333,0.0207993197278912,0.0254012738853503,0.0310382811476484,0.0343573421233679,0.037037037037037,0.0388527908333047,0.04,0.0411324433142615,0.0438866396761134,0.0456899857088083,0.243759580475998,0.249856459330144,0.262521667731047,0.272295839753467,0.290822246399781,0.302613636363636,0.30779334555934,0.329211262353161,0.34711079943899,0.365221767851526,0.414296774193548,0.487542361013864,0.929221435793731
"14 - Lakes TSA",1480,0.00165837479270315,0.0431239454899416,0.0600035861574323,0.066837962962963,0.0711007025761124,0.0768784436851664,0.080259824442944,0.0838737679747734,0.087424924517727,0.0904326284627704,0.0930508948740468,0.243003255003036,0.247646133682831,0.252256384825192,0.262138275124733,0.270242243943902,0.276361409933623,0.285829397874852,0.29922131147541,0.330595275590551,0.351992844364937,0.374558813320066,0.449916387959866,1
"15 - Lillooet TSA",484,0.00518134715025907,0.0137646198830409,0.0219762956729083,0.0246890243902439,0.0307112970711297,0.0364646464646465,0.0389510489510489,0.04302561048243,0.0510627306273063,0.0526315789473684,0.0568049196516743,0.213371428571429,0.217413663663664,0.223383084577114,0.235432679738562,0.241346801346801,0.251280940337493,0.269079394501081,0.284768907563025,0.305872679705992,0.32072283669486,0.344626506024096,0.365039215686275,0.6
"16 - MacKenzie TSA",2973,0.00838574423480084,0.0349056111495738,0.0395063931013976,0.0434934166903476,0.0483536381314159,0.0506006589507477,0.0524741330869958,0.0537640660165041,0.0555555555555556,0.0570966212211026,0.0588235294117647,0.219636741048262,0.227272727272727,0.235294117647059,0.245127814972611,0.254082936368651,0.265178116940769,0.286099768237501,0.302247191011236,0.329108146841583,0.390620660276891,0.689700999438979,0.959687974992113,1
"17 - Robson Valley TSA",389,0.0131578947368421,0.025631225036655,0.0361069518716578,0.0386523553965414,0.0428701601972664,0.0442184557438795,0.0460341952390551,0.0487171235843802,0.0508489575521224,0.0522858701582106,0.0531033466017986,0.376705673148626,0.421376267143709,0.505230855070442,0.569239717490652,0.767317995710668,0.937985211475895,1,1,1,1,1,1,1
"18 - Merritt TSA",2398,0.00154559505409583,0.0113598059244127,0.0178409906676238,0.0227272727272727,0.025,0.0267272727272727,0.0277777777777778,0.0285214059047397,0.0290796524634514,0.0294117647058824,0.0298077298457935,0.145675178753831,0.151698179000387,0.157499587662873,0.16306134723336,0.171428571428571,0.179079698864361,0.195247055902384,0.207842797783934,0.217821855251626,0.236842105263158,0.269781657530652,0.332269736842105,1
"2 - Boundary TSA",2070,0.00694444444444444,0.0309829777031887,0.0363916083916084,0.0382189969023006,0.041980198019802,0.0440376250242429,0.046875,0.0495492320410738,0.0515818438168008,0.053163568247685,0.0555555555555556,0.145833333333333,0.151202853234317,0.157596196373286,0.161607008995502,0.166666666666667,0.173275058275058,0.183541062801932,0.197645549542825,0.209170871013803,0.227170087976539,0.250285451197053,0.292982965543941,1
"20 - Morice TSA",1918,0.0027027027027027,0.0320501093656791,0.0352722345405272,0.0365853658536585,0.0379268037226561,0.0396707527895647,0.0415289702621254,0.0429910475356396,0.0449438202247191,0.0467731320933165,0.0498049236670777,0.227843088106279,0.233164281705949,0.243380924630925,0.257974637681159,0.267089108910891,0.279304298642534,0.291559408730331,0.304870073355713,0.323982065229761,0.357384515289525,0.4,0.484649730029071,1
"22 - Okanagan TSA",6216,0.00472813238770686,0.021505376344086,0.029172366621067,0.0337756735129368,0.037037037037037,0.038961038961039,0.0417711234911792,0.043956043956044,0.0463576158940397,0.048739837398374,0.0503736545647203,0.132951179286824,0.137931034482759,0.142857142857143,0.150296442687747,0.157608305770302,0.166666666666667,0.17558283474314,0.192567771084337,0.214889067094359,0.245614035087719,0.286422054078112,0.369690824213668,1
"23 - 100 Mile House TSA",3425,0.00242130750605327,0.0217986314760508,0.0340909090909091,0.0441111625752663,0.0504934568062258,0.056998191681736,0.0618346766635426,0.0666666666666667,0.0691276207173643,0.0720790020790021,0.0745304437564499,0.319444444444444,0.3284875491481,0.333333333333333,0.345643097643098,0.36,0.373097681637404,0.386434323432343,0.405893111156269,0.428571428571429,0.467905290102389,0.520551669316375,0.606438152011922,0.994865211810013
"24 - Prince George TSA",5916,0.000547045951859956,0.0287845245625132,0.0364583333333333,0.0386359395409591,0.0415430267062315,0.0438108766233766,0.0464084428659604,0.0487833238797504,0.051419332570349,0.0538188367454923,0.0566190388960127,0.268814333814334,0.279094735340277,0.290729271991911,0.303635021097047,0.317895760431147,0.330462259321967,0.3472551342812,0.370938001927401,0.39972027972028,0.440106382978724,0.537521405942289,0.960447530197671,1
"25 - Haida Gwaii TSA",593,0.0130293159609121,0.0372230792965134,0.0486864531295915,0.05454706142289,0.0584917199475795,0.0628378378378378,0.0651325556733828,0.0673552290406223,0.0680172272801614,0.0687948809100604,0.0696748814069189,0.465403842003022,0.482031280384477,0.49230430362589,0.501315468940317,0.518605230386052,0.53678955453149,0.551018463371054,0.584786726267141,0.607142857142857,0.63869689119171,0.67359333152779,0.732747252747253,0.917293233082707
"26 - Quesnel TSA",3355,0.00158982511923688,0.0212553334830451,0.0317533824914433,0.0379382431914077,0.0417279894875164,0.0460123523093448,0.0498265786362724,0.0525314465779383,0.0547713441956418,0.056,0.056873769797437,0.260869565217391,0.272151692043924,0.288589812249206,0.303029570880824,0.320332994465154,0.335458294153496,0.355276376227828,0.390828804347826,0.425376784605834,0.468612581777992,0.526056680161944,0.599894858287257,1
"27 - Revelstoke TSA",411,0.0119617224880383,0.0274353120243531,0.0305487305487305,0.0337645594380724,0.0341880341880342,0.0356507371631927,0.0362325962325962,0.0375505780346821,0.0403204735997883,0.0423412006969745,0.0434782608695652,0.285714285714286,0.297695071179157,0.306060606060606,0.333777777777778,0.360452514497576,0.395532661923681,0.423148148148148,0.511111111111111,0.827877620881471,1,1,1,1
"29 - Williams Lake TSA",3181,0.00258397932816537,0.00679352822209965,0.0126595744680851,0.017998574113682,0.0229568520386967,0.02734375,0.0320789102009203,0.0361325833580036,0.0395231862052114,0.0442237071819878,0.0476190476190476,0.333333333333333,0.343852459016393,0.353741496598639,0.364824173289438,0.37995530726257,0.4,0.423162203650008,0.445255474452555,0.46875,0.5,0.540354319735097,0.637741935483871,1
"3 - Bulkley TSA",855,0.00757575757575758,0.0226096636920259,0.0306363205310574,0.0344925028835063,0.0373134328358209,0.0409334225493476,0.0457112888422709,0.0481077694235589,0.0510442425145241,0.0537330735618722,0.0555555555555556,0.432428802387763,0.45357519379845,0.482268907563025,0.529592363261094,0.555237817332945,0.591315719596389,0.645670103092783,0.683955669705437,0.702006374963779,0.708872632065301,0.71693876328433,0.727459415584416,0.906574394463668
"30 - Fraser TSA",1588,0.00917431192660551,0.0443188405797101,0.0493031548917604,0.0549283710679223,0.0569105691056911,0.0598396220826916,0.0612244897959184,0.0625,0.0631530689187151,0.0641335875009344,0.0653745567072419,0.179068865537683,0.183639940199858,0.19047619047619,0.196713515766906,0.20169855176113,0.212257205224019,0.226281192939744,0.242590866728798,0.260754856029899,0.288429378531073,0.351549295774648,0.492368421052631,1
"31 - Soo TSA",924,0.00584795321637427,0.0360185185185185,0.0519028340080972,0.057568108974359,0.0637234042553191,0.0666666666666667,0.0680986552493517,0.0701633522727273,0.0731707317073171,0.075,0.0759201236579354,0.299649769585253,0.305782506495113,0.317818740399386,0.322188405797101,0.333333333333333,0.347349441366155,0.368006318589957,0.396743582059734,0.422730158730158,0.451792517006802,0.501812080536913,0.557558024691358,1
"38 - Arrowsmith TSA",1568,0.0173913043478261,0.0497295081967213,0.0566037735849057,0.0588235294117647,0.0623230088495575,0.0637261933221771,0.0650159832867679,0.065717076179706,0.0666666666666667,0.0670401280828451,0.0677583789983433,0.188342092689919,0.195382518043304,0.202839216857908,0.210526315789474,0.222222222222222,0.233018307768432,0.25,0.271160075329567,0.284358803986711,0.308999669858039,0.348863279203772,0.42084776902887,1
"39 - Sunshine Coast TSA",1529,0.0151515151515152,0.0433206831119545,0.0531500659009603,0.0590058606468418,0.0625,0.0650479954827781,0.0657587399154821,0.0666666666666667,0.06672614622057,0.0677966101694915,0.0681818181818182,0.21574830099478,0.221141096472588,0.225806451612903,0.23529661830449,0.24439460300653,0.25449715370019,0.264210803689064,0.27386864701787,0.294617789144643,0.322921895006402,0.375358483515364,0.442129384805218,0.95959595959596
"4 - Cassiar TSA",122,0.0763636363636364,0.0836972274732199,0.0852061428861566,0.086164725277109,0.0885249343832021,0.08999518999519,0.0916770594026912,0.09722203989352,0.101358765318156,0.10393289730574,0.10722761596548,0.314000564254479,0.314829814230807,0.321072066706373,0.325142975844423,0.348491045893097,0.363348453212374,0.368802756244617,0.376123081256161,0.395238095238095,0.436186440677966,0.461585244267198,0.48502798285306,0.554030874785592
"40 - Fort St. John TSA",812,0.00087260034904014,0.00355602836879433,0.0073337469888313,0.00982190672467751,0.0125394938930739,0.0150003607950562,0.0163084638249116,0.0171846359798167,0.0193412563667233,0.0221321112823276,0.0240779353484583,0.191360920128857,0.198509719881665,0.207150693128553,0.211177156840428,0.227445255474453,0.23920085731782,0.248843910733488,0.258373749155872,0.271687439229205,0.296667919799499,0.318224426440524,0.384547692307692,0.734439834024896
"41 - Dawson Creek TSA",1696,0.00631911532385466,0.0217391304347826,0.034279196089082,0.0361424719858455,0.0382168076356018,0.0401952265090951,0.0427814374820612,0.0459438701391319,0.0492100492100492,0.0517241379310345,0.0544718152066161,0.263422467560398,0.293777288881367,0.363775552924008,0.512467250266274,0.896330219209868,0.914498480243161,0.930089892790751,0.939582861029245,0.944944657718497,0.949732704402516,0.956070700034828,0.964748037765897,1
"43 - Nass TSA",232,0.036697247706422,0.0700593264026119,0.0709659242337712,0.0712922577194859,0.0714285714285714,0.0714778634163829,0.0717368293114116,0.0722387087835966,0.072330547112462,0.0727717965971354,0.073010503827666,0.216299765807963,0.233126039212199,0.240208862085827,0.250836093345247,0.277476190476191,0.295194408296857,0.302687400318979,0.309090909090909,0.329953051643192,0.335496894409938,0.341618809272919,0.404590158552999,0.656626506024096
"44 - Pacific TSA",506,0.014336917562724,0.0437272553150737,0.053448745910578,0.0574576739050423,0.059241564646163,0.0626977848101266,0.0645392807532027,0.066729055258467,0.0676381245872771,0.0704026442307692,0.0706923477355544,0.236140499365214,0.241103896103896,0.248154458725995,0.252305638972306,0.271268357810414,0.29705152250662,0.334850971514808,0.340909090909091,0.375612535612535,0.412220286747957,0.437052071668533,0.511301257667037,0.954648526077097
"45 - Cascadia TSA",361,0.0072463768115942,0.0383172958302492,0.0452307692307692,0.0470488530641455,0.0509067062043796,0.0521739130434783,0.0548292006242414,0.0560676056338028,0.0569999254454634,0.0572023809523809,0.058252427184466,0.211506628086939,0.216109998228472,0.222222222222222,0.23071491615181,0.239191671769749,0.241344654306013,0.272369310154186,0.277777777777778,0.291450345320314,0.320473684210526,0.378417945690673,0.443166245943021,0.610027855153203
"46 - GBR North TSA",1352,0.0182926829268293,0.0636068824730242,0.0679631982920754,0.074474678760393,0.0809357245195396,0.0875660023846023,0.0986376811594203,0.109419776413163,0.113150412374442,0.117647058823529,0.120972878569961,0.217328444211629,0.222222222222222,0.234002783853649,0.246567115727966,0.25,0.265942740644935,0.285527950310558,0.306965355350494,0.330824754193175,0.34414200302662,0.409321714554875,0.547978036175711,0.833333333333333
"47 - GBR South TSA",1634,0.0123152709359606,0.0338395308924485,0.0614510392114849,0.0674846625766871,0.0778145491012883,0.0866740037071362,0.0961273209549072,0.1,0.111111111111111,0.114497273718648,0.117647058823529,0.195126596980256,0.2,0.2,0.211275731310943,0.220730127204805,0.230769230769231,0.25,0.256729428172943,0.285714285714286,0.333394495412844,0.418157894736842,0.658809523809526,1
"48 - North Island TSA",3872,0.00316455696202532,0.0419640514003891,0.0543552701979668,0.0595303951367781,0.0615384615384615,0.0630630630630631,0.0645161290322581,0.0654755411255411,0.0660787705676469,0.0666666666666667,0.067140446178999,0.240974850920404,0.248384373923363,0.252940201171659,0.263157894736842,0.274870229007634,0.288463818789906,0.297639805367103,0.310446481812761,0.333333333333333,0.36093843010775,0.417849802371541,0.477148006178843,1
"5 - Cranbrook TSA",1200,0.00314465408805031,0.00861995284409077,0.00999607843137255,0.013759071614405,0.0175317604355717,0.019595192915876,0.0231430617575196,0.0272082963620231,0.0305158454776775,0.0333333333333333,0.0346270444253153,0.334969816791881,0.353896188950045,0.382106576885122,0.406283738191633,0.458493862134089,0.510794066317627,0.659106864470706,1,1,1,1,1,1
"7 - Golden TSA",607,0.0150753768844221,0.027705069124424,0.0320061538461539,0.033366852886406,0.0347367149758454,0.0356333795654184,0.0366432234432234,0.0376672384219554,0.0383088667058133,0.0387471339665902,0.0394394112795463,0.205504201680672,0.217391304347826,0.225397498410006,0.235757453666398,0.248899082568807,0.257866541353384,0.270836120401338,0.296383187870483,0.32544267053701,0.35170613034764,0.419939611790079,0.465318681318681,1
"9 - Invermere TSA",1044,0.000252047889098929,0.00825546448087432,0.0113985747816709,0.0150854755131071,0.0190629231741446,0.0254439813771871,0.0280046948356808,0.0330596826995719,0.0357039571216786,0.0381289537183974,0.040282131661442,0.322710027100271,0.331075130662021,0.337442104760541,0.347228569113596,0.358703590992088,0.38234520123839,0.401253731343283,0.41845294370434,0.438743334995588,0.473470582447855,0.496693538991523,0.553576457844376,0.761394101876676
